"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"126","CATH_HUMAN","AR_vs_STA",-1.0933434637065,0.392510358356502,-2.78551493082753,6,0.03176493131956,0.204450648856805,NA,0.767857142857143,0.244047619047619
"127","CATL1_HUMAN","AR_vs_STA",1.00506252799327,0.428333435534274,2.34644892183031,8,0.0469407458749456,0.226081959724228,NA,0.458333333333333,0.291666666666667
"128","CATZ_HUMAN","AR_vs_STA",1.49857052372434,0.456206768929975,3.28484938362316,9,0.00945576884228005,0.159547603406662,NA,0.704545454545455,0.246212121212121
"129","CBG_HUMAN","AR_vs_STA",0.544245188770608,0.446370142084204,1.2192688028581,10,0.250720524665067,0.48105726683704,NA,0.813725490196078,0.225490196078431
"130","CBPE_HUMAN","AR_vs_STA",-1.54013769001023,0.537474712251314,-2.86550725997707,8,0.0209731759770313,0.183021957307724,NA,0.755555555555556,0.255555555555556
"131","CBPM_HUMAN","AR_vs_STA",-1.18015728503884,0.464241095446377,-2.54212153257155,6,0.0439549725106949,0.223268660305767,NA,0.666666666666667,0.238095238095238
"132","CBPZ_HUMAN","AR_vs_STA",-0.701795519235147,0.575631693488379,-1.21917456452442,7,0.262261823691518,0.486506818023597,NA,0.738095238095238,0.166666666666667
"133","CD5L_HUMAN","AR_vs_STA",0.244860127849339,0.586035832657169,0.417824498442542,9,0.685867558253944,0.823779571194493,NA,0.858974358974359,0.211538461538462
"134","CD7_HUMAN","AR_vs_STA",-1.22161378532359,0.764580593134202,-1.59775672609724,10,0.141180897343553,0.372918800890963,NA,0.533333333333333,0.433333333333333
"135","CD9_HUMAN","AR_vs_STA",-1.12925484439811,0.411746750916407,-2.74259564133725,6,0.0336198556408309,0.206935818599328,NA,0.694444444444444,0.138888888888889
"136","CD14_HUMAN","AR_vs_STA",-0.845741080089467,0.706262339722915,-1.19748857120326,10,0.258730215813299,0.486506818023597,NA,0.492753623188406,0.27536231884058
"137","CD27_HUMAN","AR_vs_STA",-2.51374634878344,0.985644438771668,-2.55035817167104,10,0.0288462329559982,0.194506027931874,NA,0.472222222222222,0.25
"138","CD44_HUMAN","AR_vs_STA",-2.40092736715918,0.897765917628679,-2.67433561467881,10,0.0233183563135804,0.183021957307724,NA,0.350877192982456,0.245614035087719
"139","CD59_HUMAN","AR_vs_STA",-2.6230766913318,1.02107548361275,-2.56893514086821,10,0.0279416566991608,0.193947970029469,NA,0.29,0.21
"140","CD166_HUMAN","AR_vs_STA",0.741074228099107,0.927828284688014,0.798719159923321,1,0.570944085770098,0.745733797252996,NA,0.916666666666667,0
"141","CD177_HUMAN","AR_vs_STA",-1.44326342431568,1.43076901939059,-1.0087326498937,2,0.419303179801249,0.623295359788373,NA,0.854166666666667,0.0208333333333333
"142","CD209_HUMAN","AR_vs_STA",-0.322574349430056,0.24600306258269,-1.31126151863101,5,0.246754620529819,0.478885550296225,NA,0.880952380952381,0.130952380952381
"143","CD248_HUMAN","AR_vs_STA",-2.15121040857951,0.655796939589124,-3.28029955419936,10,0.00828474866373008,0.159547603406662,NA,0.497474747474748,0.376262626262626
"144","CD276_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.6875,0.104166666666667
"145","CD320_HUMAN","AR_vs_STA",-0.286375594016695,0.629877365888589,-0.454652936469143,8,0.661442052236344,0.812867477325564,NA,0.472222222222222,0.305555555555556
"146","CDC42_HUMAN","AR_vs_STA",-0.616887250366598,0.487947420430112,-1.26424943454528,4,0.274790680610515,0.49793816041151,NA,0.854166666666667,0.104166666666667
"147","CDD_HUMAN","AR_vs_STA",0.266859576482799,0.395800111881517,0.674228148178704,1,0.622344913719989,0.788272221138693,NA,0.895833333333333,0.0208333333333333
"148","CDHR2_HUMAN","AR_vs_STA",-0.701939460455353,0.449353572658464,-1.56210944602608,6,0.169288420909648,0.404829198425737,NA,0.892857142857143,0.130952380952381
"149","CDHR5_HUMAN","AR_vs_STA",-1.103487491178,0.411465343784482,-2.68184795596294,7,0.0314549362098266,0.204312796665663,NA,0.75,0.2
"150","CEAM5_HUMAN","AR_vs_STA",-0.584119704428339,0.397730025939861,-1.46863366186153,2,0.279673351160011,0.501947789558982,NA,0.833333333333333,0.0555555555555556
"151","CEAM8_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.958333333333333,0
"152","CEL_HUMAN","AR_vs_STA",-1.34123165334083,0.582951791372486,-2.30075912483787,8,0.0504110600518182,0.234809411293995,NA,0.793478260869565,0.228260869565217
"153","CERU_HUMAN","AR_vs_STA",0.409745990888395,0.292893002843103,1.39896135076975,10,0.192067582767615,0.43153773754159,NA,0.674019607843137,0.301470588235294
"154","CETP_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.979166666666667,0
"155","CF072_HUMAN","AR_vs_STA",-0.549809027684258,0.241108935884036,-2.28033451215054,3,0.106902348064961,0.323486032747387,NA,0.708333333333333,0.125
